Symbol	Name	Pinyi	Initial
000969	安泰科技	AnTaiKeJi	ATKJ
000970	中科三环	ZhongKeSanHuan	ZKSH
000971	ST迈亚	MaiYa	MY
000972	*ST中基	ZhongJi	ZJ
000973	佛塑科技	FoSuKeJi	FSKJ
000975	科学城	KeXueCheng	KXC
000976	春晖股份	ChunHuiGuFen	CHGF
000977	浪潮信息	LangChaoXinXi	LCXX
000978	桂林旅游	GuiLinLvYou	GLLY
000979	中弘股份	ZhongHongGuFen	ZHGF
000980	金马股份	JinMaGuFen	JMGF
000981	银亿股份	YinYiGuFen	YYGF
000982	中银绒业	ZhongYinRongYe	ZYRY
000983	西山煤电	XiShanMeiDian	XSMD
000985	大庆华科	DaQingHuaKe	DQHK
000987	广州友谊	GuangZhouYouYi	GZYY
000988	华工科技	HuaGongKeJi	HGKJ
000989	九芝堂	JiuZhiTang	JZT
000990	诚志股份	ChengZhiGuFen	CZGF
000993	闽东电力	MinDongDianLi	MDDL
000995	ST皇台	HuangTai	HT
000996	中国中期	ZhongGuoZhongQi	ZGZQ
000997	新大陆	XinDaLu	XDL
000998	隆平高科	LongPingGaoKe	LPGK
000999	华润三九	HuaRunSanJiu	HRSJ
300001	特锐德	TeRuiDe	TRD
300002	神州泰岳	ShenZhouTaiYue	SZTY
300003	乐普医疗	LePuYiLiao	LPYL
300004	南风股份	NanFengGuFen	NFGF
300005	探路者	TanLuZhe	TLZ
300006	莱美药业	LaiMeiYaoYe	LMYY
300007	汉威电子	HanWeiDianZi	HWDZ
300008	上海佳豪	ShangHaiJiaHao	SHJH
300009	安科生物	AnKeShengWu	AKSW
300010	立思辰	LiSiChen	LSC
300011	鼎汉技术	DingHanJiShu	DHJS
300012	华测检测	HuaCeJianCe	HCJC
300013	新宁物流	XinNingWuLiu	XNWL
300014	亿纬锂能	YiWeiLiNeng	YWLN
300015	爱尔眼科	AiErYanKe	AEYK
300016	北陆药业	BeiLuYaoYe	BLYY
300017	网宿科技	WangSuKeJi	WSKJ
300018	中元华电	ZhongYuanHuaDian	ZYHD
300019	硅宝科技	GuiBaoKeJi	GBKJ
300020	银江股份	YinJiangGuFen	YJGF
300021	大禹节水	DaYuJieShui	DYJS
300022	吉峰农机	JiFengNongJi	JFNJ
300023	宝德股份	BaoDeGuFen	BDGF
300024	机器人	JiQiRen	JQR
300025	华星创业	HuaXingChuangYe	HXCY
300026	红日药业	HongRiYaoYe	HRYY
300027	华谊兄弟	HuaYiXiongDi	HYXD
